"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name"
"001",2020,"Assault",246,"West Humber-Clairville"
"001",2020,"Auto Theft",397,"West Humber-Clairville"
"001",2020,"Break and Enter",107,"West Humber-Clairville"
"001",2020,"Robbery",76,"West Humber-Clairville"
"001",2020,"Theft Over",53,"West Humber-Clairville"
"001",2021,"Assault",247,"West Humber-Clairville"
"001",2021,"Auto Theft",503,"West Humber-Clairville"
"001",2021,"Break and Enter",100,"West Humber-Clairville"
"001",2021,"Robbery",53,"West Humber-Clairville"
"001",2021,"Theft Over",57,"West Humber-Clairville"
"001",2022,"Assault",265,"West Humber-Clairville"
"001",2022,"Auto Theft",782,"West Humber-Clairville"
"001",2022,"Break and Enter",134,"West Humber-Clairville"
"001",2022,"Robbery",71,"West Humber-Clairville"
"001",2022,"Theft Over",59,"West Humber-Clairville"
"001",2023,"Assault",327,"West Humber-Clairville"
"001",2023,"Auto Theft",831,"West Humber-Clairville"
"001",2023,"Break and Enter",214,"West Humber-Clairville"
"001",2023,"Robbery",77,"West Humber-Clairville"
"001",2023,"Theft Over",77,"West Humber-Clairville"
"001",2024,"Assault",337,"West Humber-Clairville"
"001",2024,"Auto Theft",665,"West Humber-Clairville"
"001",2024,"Break and Enter",155,"West Humber-Clairville"
"001",2024,"Robbery",63,"West Humber-Clairville"
"001",2024,"Theft Over",73,"West Humber-Clairville"
"001",2025,"Assault",320,"West Humber-Clairville"
"001",2025,"Auto Theft",485,"West Humber-Clairville"
"001",2025,"Break and Enter",127,"West Humber-Clairville"
"001",2025,"Robbery",57,"West Humber-Clairville"
"001",2025,"Theft Over",88,"West Humber-Clairville"
"002",2020,"Assault",203,"Mount Olive-Silverstone-Jamestown"
"002",2020,"Auto Theft",84,"Mount Olive-Silverstone-Jamestown"
"002",2020,"Break and Enter",18,"Mount Olive-Silverstone-Jamestown"
"002",2020,"Robbery",31,"Mount Olive-Silverstone-Jamestown"
"002",2020,"Theft Over",8,"Mount Olive-Silverstone-Jamestown"
"002",2021,"Assault",222,"Mount Olive-Silverstone-Jamestown"
"002",2021,"Auto Theft",74,"Mount Olive-Silverstone-Jamestown"
"002",2021,"Break and Enter",17,"Mount Olive-Silverstone-Jamestown"
"002",2021,"Robbery",48,"Mount Olive-Silverstone-Jamestown"
"002",2021,"Theft Over",3,"Mount Olive-Silverstone-Jamestown"
"002",2022,"Assault",264,"Mount Olive-Silverstone-Jamestown"
"002",2022,"Auto Theft",121,"Mount Olive-Silverstone-Jamestown"
"002",2022,"Break and Enter",25,"Mount Olive-Silverstone-Jamestown"
"002",2022,"Robbery",53,"Mount Olive-Silverstone-Jamestown"
"002",2022,"Theft Over",18,"Mount Olive-Silverstone-Jamestown"
"002",2023,"Assault",282,"Mount Olive-Silverstone-Jamestown"
"002",2023,"Auto Theft",152,"Mount Olive-Silverstone-Jamestown"
"002",2023,"Break and Enter",24,"Mount Olive-Silverstone-Jamestown"
"002",2023,"Robbery",54,"Mount Olive-Silverstone-Jamestown"
"002",2023,"Theft Over",13,"Mount Olive-Silverstone-Jamestown"
"002",2024,"Assault",332,"Mount Olive-Silverstone-Jamestown"
"002",2024,"Auto Theft",84,"Mount Olive-Silverstone-Jamestown"
"002",2024,"Break and Enter",29,"Mount Olive-Silverstone-Jamestown"
"002",2024,"Robbery",42,"Mount Olive-Silverstone-Jamestown"
"002",2024,"Theft Over",11,"Mount Olive-Silverstone-Jamestown"
"002",2025,"Assault",245,"Mount Olive-Silverstone-Jamestown"
"002",2025,"Auto Theft",94,"Mount Olive-Silverstone-Jamestown"
"002",2025,"Break and Enter",19,"Mount Olive-Silverstone-Jamestown"
"002",2025,"Robbery",36,"Mount Olive-Silverstone-Jamestown"
"002",2025,"Theft Over",8,"Mount Olive-Silverstone-Jamestown"
"003",2020,"Assault",59,"Thistletown-Beaumond Heights"
"003",2020,"Auto Theft",43,"Thistletown-Beaumond Heights"
"003",2020,"Break and Enter",11,"Thistletown-Beaumond Heights"
"003",2020,"Robbery",9,"Thistletown-Beaumond Heights"
"003",2020,"Theft Over",4,"Thistletown-Beaumond Heights"
"003",2021,"Assault",58,"Thistletown-Beaumond Heights"
"003",2021,"Auto Theft",43,"Thistletown-Beaumond Heights"
"003",2021,"Break and Enter",8,"Thistletown-Beaumond Heights"
"003",2021,"Robbery",6,"Thistletown-Beaumond Heights"
"003",2021,"Theft Over",3,"Thistletown-Beaumond Heights"
"003",2022,"Assault",59,"Thistletown-Beaumond Heights"
"003",2022,"Auto Theft",57,"Thistletown-Beaumond Heights"
"003",2022,"Break and Enter",17,"Thistletown-Beaumond Heights"
"003",2022,"Robbery",16,"Thistletown-Beaumond Heights"
"003",2022,"Theft Over",1,"Thistletown-Beaumond Heights"
"003",2023,"Assault",63,"Thistletown-Beaumond Heights"
"003",2023,"Auto Theft",52,"Thistletown-Beaumond Heights"
"003",2023,"Break and Enter",23,"Thistletown-Beaumond Heights"
"003",2023,"Robbery",12,"Thistletown-Beaumond Heights"
"003",2023,"Theft Over",14,"Thistletown-Beaumond Heights"
"003",2024,"Assault",74,"Thistletown-Beaumond Heights"
"003",2024,"Auto Theft",36,"Thistletown-Beaumond Heights"
"003",2024,"Break and Enter",23,"Thistletown-Beaumond Heights"
"003",2024,"Robbery",9,"Thistletown-Beaumond Heights"
"003",2024,"Theft Over",3,"Thistletown-Beaumond Heights"
"003",2025,"Assault",58,"Thistletown-Beaumond Heights"
"003",2025,"Auto Theft",35,"Thistletown-Beaumond Heights"
"003",2025,"Break and Enter",11,"Thistletown-Beaumond Heights"
"003",2025,"Robbery",17,"Thistletown-Beaumond Heights"
"003",2025,"Theft Over",4,"Thistletown-Beaumond Heights"
"004",2020,"Assault",50,"Rexdale-Kipling"
"004",2020,"Auto Theft",42,"Rexdale-Kipling"
"004",2020,"Break and Enter",19,"Rexdale-Kipling"
"004",2020,"Robbery",14,"Rexdale-Kipling"
"004",2020,"Theft Over",1,"Rexdale-Kipling"
"004",2021,"Assault",49,"Rexdale-Kipling"
"004",2021,"Auto Theft",41,"Rexdale-Kipling"
"004",2021,"Break and Enter",28,"Rexdale-Kipling"
"004",2021,"Robbery",10,"Rexdale-Kipling"
"004",2021,"Theft Over",2,"Rexdale-Kipling"
"004",2022,"Assault",58,"Rexdale-Kipling"
"004",2022,"Auto Theft",60,"Rexdale-Kipling"
"004",2022,"Break and Enter",21,"Rexdale-Kipling"
"004",2022,"Robbery",13,"Rexdale-Kipling"
"004",2022,"Theft Over",9,"Rexdale-Kipling"
"004",2023,"Assault",79,"Rexdale-Kipling"
"004",2023,"Auto Theft",75,"Rexdale-Kipling"
"004",2023,"Break and Enter",16,"Rexdale-Kipling"
"004",2023,"Robbery",24,"Rexdale-Kipling"
"004",2023,"Theft Over",4,"Rexdale-Kipling"
"004",2024,"Assault",93,"Rexdale-Kipling"
"004",2024,"Auto Theft",46,"Rexdale-Kipling"
"004",2024,"Break and Enter",24,"Rexdale-Kipling"
"004",2024,"Robbery",25,"Rexdale-Kipling"
"004",2024,"Theft Over",1,"Rexdale-Kipling"
"004",2025,"Assault",72,"Rexdale-Kipling"
"004",2025,"Auto Theft",37,"Rexdale-Kipling"
"004",2025,"Break and Enter",19,"Rexdale-Kipling"
"004",2025,"Robbery",14,"Rexdale-Kipling"
"004",2025,"Theft Over",7,"Rexdale-Kipling"
"005",2020,"Assault",52,"Elms-Old Rexdale"
"005",2020,"Auto Theft",45,"Elms-Old Rexdale"
"005",2020,"Break and Enter",13,"Elms-Old Rexdale"
"005",2020,"Robbery",7,"Elms-Old Rexdale"
"005",2020,"Theft Over",2,"Elms-Old Rexdale"
"005",2021,"Assault",65,"Elms-Old Rexdale"
"005",2021,"Auto Theft",49,"Elms-Old Rexdale"
"005",2021,"Break and Enter",9,"Elms-Old Rexdale"
"005",2021,"Robbery",7,"Elms-Old Rexdale"
"005",2021,"Theft Over",3,"Elms-Old Rexdale"
"005",2022,"Assault",67,"Elms-Old Rexdale"
"005",2022,"Auto Theft",64,"Elms-Old Rexdale"
"005",2022,"Break and Enter",9,"Elms-Old Rexdale"
"005",2022,"Robbery",15,"Elms-Old Rexdale"
"005",2023,"Assault",61,"Elms-Old Rexdale"
"005",2023,"Auto Theft",41,"Elms-Old Rexdale"
"005",2023,"Break and Enter",16,"Elms-Old Rexdale"
"005",2023,"Robbery",14,"Elms-Old Rexdale"
"005",2023,"Theft Over",4,"Elms-Old Rexdale"
"005",2024,"Assault",82,"Elms-Old Rexdale"
"005",2024,"Auto Theft",50,"Elms-Old Rexdale"
"005",2024,"Break and Enter",11,"Elms-Old Rexdale"
"005",2024,"Robbery",21,"Elms-Old Rexdale"
"005",2024,"Theft Over",2,"Elms-Old Rexdale"
"005",2025,"Assault",71,"Elms-Old Rexdale"
"005",2025,"Auto Theft",49,"Elms-Old Rexdale"
"005",2025,"Break and Enter",16,"Elms-Old Rexdale"
"005",2025,"Robbery",14,"Elms-Old Rexdale"
"005",2025,"Theft Over",4,"Elms-Old Rexdale"
"006",2020,"Assault",98,"Kingsview Village-The Westway"
"006",2020,"Auto Theft",59,"Kingsview Village-The Westway"
"006",2020,"Break and Enter",14,"Kingsview Village-The Westway"
"006",2020,"Robbery",7,"Kingsview Village-The Westway"
"006",2020,"Theft Over",6,"Kingsview Village-The Westway"
"006",2021,"Assault",102,"Kingsview Village-The Westway"
"006",2021,"Auto Theft",88,"Kingsview Village-The Westway"
"006",2021,"Break and Enter",16,"Kingsview Village-The Westway"
"006",2021,"Robbery",9,"Kingsview Village-The Westway"
"006",2021,"Theft Over",8,"Kingsview Village-The Westway"
"006",2022,"Assault",143,"Kingsview Village-The Westway"
"006",2022,"Auto Theft",121,"Kingsview Village-The Westway"
"006",2022,"Break and Enter",15,"Kingsview Village-The Westway"
"006",2022,"Robbery",10,"Kingsview Village-The Westway"
"006",2022,"Theft Over",7,"Kingsview Village-The Westway"
"006",2023,"Assault",143,"Kingsview Village-The Westway"
"006",2023,"Auto Theft",113,"Kingsview Village-The Westway"
"006",2023,"Break and Enter",42,"Kingsview Village-The Westway"
"006",2023,"Robbery",23,"Kingsview Village-The Westway"
"006",2023,"Theft Over",7,"Kingsview Village-The Westway"
"006",2024,"Assault",147,"Kingsview Village-The Westway"
"006",2024,"Auto Theft",75,"Kingsview Village-The Westway"
"006",2024,"Break and Enter",24,"Kingsview Village-The Westway"
"006",2024,"Robbery",19,"Kingsview Village-The Westway"
"006",2024,"Theft Over",11,"Kingsview Village-The Westway"
"006",2025,"Assault",135,"Kingsview Village-The Westway"
"006",2025,"Auto Theft",70,"Kingsview Village-The Westway"
"006",2025,"Break and Enter",28,"Kingsview Village-The Westway"
"006",2025,"Robbery",10,"Kingsview Village-The Westway"
"006",2025,"Theft Over",5,"Kingsview Village-The Westway"
"007",2020,"Assault",100,"Willowridge-Martingrove-Richview"
"007",2020,"Auto Theft",70,"Willowridge-Martingrove-Richview"
"007",2020,"Break and Enter",20,"Willowridge-Martingrove-Richview"
"007",2020,"Robbery",15,"Willowridge-Martingrove-Richview"
"007",2020,"Theft Over",4,"Willowridge-Martingrove-Richview"
"007",2021,"Assault",58,"Willowridge-Martingrove-Richview"
"007",2021,"Auto Theft",59,"Willowridge-Martingrove-Richview"
"007",2021,"Break and Enter",22,"Willowridge-Martingrove-Richview"
"007",2021,"Robbery",6,"Willowridge-Martingrove-Richview"
"007",2021,"Theft Over",4,"Willowridge-Martingrove-Richview"
"007",2022,"Assault",96,"Willowridge-Martingrove-Richview"
"007",2022,"Auto Theft",108,"Willowridge-Martingrove-Richview"
"007",2022,"Break and Enter",27,"Willowridge-Martingrove-Richview"
"007",2022,"Robbery",15,"Willowridge-Martingrove-Richview"
"007",2022,"Theft Over",4,"Willowridge-Martingrove-Richview"
"007",2023,"Assault",125,"Willowridge-Martingrove-Richview"
"007",2023,"Auto Theft",108,"Willowridge-Martingrove-Richview"
"007",2023,"Break and Enter",31,"Willowridge-Martingrove-Richview"
"007",2023,"Robbery",17,"Willowridge-Martingrove-Richview"
"007",2023,"Theft Over",4,"Willowridge-Martingrove-Richview"
"007",2024,"Assault",101,"Willowridge-Martingrove-Richview"
"007",2024,"Auto Theft",84,"Willowridge-Martingrove-Richview"
"007",2024,"Break and Enter",42,"Willowridge-Martingrove-Richview"
"007",2024,"Robbery",14,"Willowridge-Martingrove-Richview"
"007",2024,"Theft Over",10,"Willowridge-Martingrove-Richview"
"007",2025,"Assault",84,"Willowridge-Martingrove-Richview"
"007",2025,"Auto Theft",82,"Willowridge-Martingrove-Richview"
