"crime_type","soc_var","spearman_r","p_value","significant","strong","show_in_ui"
"Assault","income",-0.569105487756663,6.10560792406692e-15,TRUE,TRUE,TRUE
"Assault","low_income",0.521071114585631,2.23613834635707e-12,TRUE,TRUE,TRUE
"Assault","unemployment",0.309205858583899,7.71405728148538e-05,TRUE,FALSE,FALSE
"Assault","housing_cost",0.258496995536512,0.00104036692024615,TRUE,FALSE,FALSE
"Auto Theft","low_income",-0.136597203519457,0.0870076770553196,FALSE,FALSE,FALSE
"Auto Theft","income",0.129585647438102,0.104635912297495,FALSE,FALSE,FALSE
"Auto Theft","housing_cost",-0.115990047921805,0.146696703197598,FALSE,FALSE,FALSE
"Auto Theft","unemployment",0.0209138087081647,0.79422850306886,FALSE,FALSE,FALSE
"Break and Enter","housing_cost",0.244124134806482,0.00199393291366018,TRUE,FALSE,FALSE
"Break and Enter","unemployment",-0.202209516235784,0.0108364534230223,TRUE,FALSE,FALSE
"Break and Enter","low_income",0.1436639095306,0.0717277861376675,FALSE,FALSE,FALSE
"Break and Enter","income",-0.0904688570985521,0.258279835179949,FALSE,FALSE,FALSE
"Robbery","low_income",0.417387456468145,5.37751130320909e-08,TRUE,TRUE,TRUE
"Robbery","income",-0.389140881600366,4.73052019540324e-07,TRUE,FALSE,FALSE
"Robbery","unemployment",0.268512252647696,0.00067330191521639,TRUE,FALSE,FALSE
"Robbery","housing_cost",0.177073602244401,0.0265168290670358,TRUE,FALSE,FALSE
"Theft Over","housing_cost",0.243171953602153,0.002624455309085,TRUE,FALSE,FALSE
"Theft Over","low_income",0.170299097896121,0.0365660057263455,TRUE,FALSE,FALSE
"Theft Over","unemployment",-0.141401536604497,0.083301187466225,FALSE,FALSE,FALSE
"Theft Over","income",-0.106020185298812,0.195104158293157,FALSE,FALSE,FALSE
