"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name","TSNS.DESIGNATION","population","crime_rate"
"001",2020,"Assault",246,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,73.8738738738739
"001",2020,"Auto Theft",397,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,119.219219219219
"001",2020,"Break and Enter",107,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,32.1321321321321
"001",2020,"Robbery",76,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,22.8228228228228
"001",2020,"Theft Over",53,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,15.9159159159159
"001",2021,"Assault",247,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,74.1741741741742
"001",2021,"Auto Theft",503,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,151.051051051051
"001",2021,"Break and Enter",100,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,30.03003003003
"001",2021,"Robbery",53,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,15.9159159159159
"001",2021,"Theft Over",57,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,17.1171171171171
"001",2022,"Assault",265,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,79.5795795795796
"001",2022,"Auto Theft",782,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,234.834834834835
"001",2022,"Break and Enter",134,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,40.2402402402402
"001",2022,"Robbery",71,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,21.3213213213213
"001",2022,"Theft Over",59,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,17.7177177177177
"001",2023,"Assault",327,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,98.1981981981982
"001",2023,"Auto Theft",831,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,249.54954954955
"001",2023,"Break and Enter",214,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,64.2642642642643
"001",2023,"Robbery",77,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,23.1231231231231
"001",2023,"Theft Over",77,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,23.1231231231231
"001",2024,"Assault",337,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,101.201201201201
"001",2024,"Auto Theft",665,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,199.6996996997
"001",2024,"Break and Enter",155,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,46.5465465465465
"001",2024,"Robbery",63,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,18.9189189189189
"001",2024,"Theft Over",73,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,21.9219219219219
"001",2025,"Assault",320,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,96.0960960960961
"001",2025,"Auto Theft",485,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,145.645645645646
"001",2025,"Break and Enter",127,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,38.1381381381381
"001",2025,"Robbery",57,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,17.1171171171171
"001",2025,"Theft Over",88,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,26.4264264264264
"002",2020,"Assault",203,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,64.7631201148508
"002",2020,"Auto Theft",84,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,26.7985324613176
"002",2020,"Break and Enter",18,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,5.74254267028234
"002",2020,"Robbery",31,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,9.88993459881959
"002",2020,"Theft Over",8,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,2.55224118679215
"002",2021,"Assault",222,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,70.8246929334822
"002",2021,"Auto Theft",74,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,23.6082309778274
"002",2021,"Break and Enter",17,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,5.42351252193332
"002",2021,"Robbery",48,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,15.3134471207529
"002",2021,"Theft Over",3,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,0.957090445047057
"002",2022,"Assault",264,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,84.223959164141
"002",2022,"Auto Theft",121,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,38.6026479502313
"002",2022,"Break and Enter",25,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,7.97575370872547
"002",2022,"Robbery",53,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,16.908597862498
"002",2022,"Theft Over",18,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,5.74254267028234
"002",2023,"Assault",282,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,89.9665018344234
"002",2023,"Auto Theft",152,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,48.4925825490509
"002",2023,"Break and Enter",24,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,7.65672356037646
"002",2023,"Robbery",54,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,17.227628010847
"002",2023,"Theft Over",13,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,4.14739192853725
"002",2024,"Assault",332,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,105.918009251874
"002",2024,"Auto Theft",84,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,26.7985324613176
"002",2024,"Break and Enter",29,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,9.25187430212155
"002",2024,"Robbery",42,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,13.3992662306588
"002",2024,"Theft Over",11,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,3.50933163183921
"002",2025,"Assault",245,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,78.1623863455096
"002",2025,"Auto Theft",94,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,29.9888339448078
