"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name","population","crime_rate","city_avg_rate","s_crime_rate"
"001",2014,"Assault",299,"West Humber-Clairville",33300,89.7897897897898,59.7037606491133,0.267529222225396
"001",2014,"Auto Theft",315,"West Humber-Clairville",33300,94.5945945945946,12.5725770449819,1
"001",2014,"Break and Enter",151,"West Humber-Clairville",33300,45.3453453453453,26.6978755593416,0.383405725087391
"001",2014,"Robbery",81,"West Humber-Clairville",33300,24.3243243243243,13.5821805100475,0.291528699843571
"001",2014,"Theft Over",41,"West Humber-Clairville",33300,12.3123123123123,3.65174026360149,0.40248872158339
"001",2015,"Assault",300,"West Humber-Clairville",33300,90.0900900900901,64.8993305496583,0.198295764771337
"001",2015,"Auto Theft",271,"West Humber-Clairville",33300,81.3813813813814,11.9822217582044,1
"001",2015,"Break and Enter",118,"West Humber-Clairville",33300,35.4354354354354,25.5038899189161,0.337068625120269
"001",2015,"Robbery",74,"West Humber-Clairville",33300,22.2222222222222,12.4561626193602,0.352971896254554
"001",2015,"Theft Over",58,"West Humber-Clairville",33300,17.4174174174174,3.66782701415542,0.785281572813747
"001",2016,"Assault",293,"West Humber-Clairville",33300,87.987987987988,67.1208846597699,0.211790833995111
"001",2016,"Auto Theft",318,"West Humber-Clairville",33300,95.4954954954955,11.9533084105112,1
"001",2016,"Break and Enter",130,"West Humber-Clairville",33300,39.039039039039,23.5590159893207,0.477879955542423
"001",2016,"Robbery",90,"West Humber-Clairville",33300,27.027027027027,13.2661908051903,0.467885320935865
"001",2016,"Theft Over",40,"West Humber-Clairville",33300,12.012012012012,3.75877737435639,0.532271647744071
"001",2017,"Assault",308,"West Humber-Clairville",33300,92.4924924924925,69.4035720859218,0.169511284386158
"001",2017,"Auto Theft",321,"West Humber-Clairville",33300,96.3963963963964,13.0194983285573,1
"001",2017,"Break and Enter",124,"West Humber-Clairville",33300,37.2372372372372,25.2878854736903,0.331227347585264
"001",2017,"Robbery",123,"West Humber-Clairville",33300,36.9369369369369,14.3548478472783,0.536254036275223
"001",2017,"Theft Over",58,"West Humber-Clairville",33300,17.4174174174174,4.12216830498806,0.62494346886931
"001",2018,"Assault",322,"West Humber-Clairville",33300,96.6966966966967,70.45244134518,0.198011306984337
"001",2018,"Auto Theft",497,"West Humber-Clairville",33300,149.249249249249,16.9822295749662,1
"001",2018,"Break and Enter",170,"West Humber-Clairville",33300,51.051051051051,27.5990772510942,0.369732624848587
"001",2018,"Robbery",91,"West Humber-Clairville",33300,27.3273273273273,13.2701503600022,0.331838777769899
"001",2018,"Theft Over",54,"West Humber-Clairville",33300,16.2162162162162,4.47180131994928,0.481334220724821
"001",2019,"Assault",247,"West Humber-Clairville",33300,74.1741741741742,74.3439178949927,0.119320599924101
"001",2019,"Auto Theft",489,"West Humber-Clairville",33300,146.846846846847,18.6275271489613,1
"001",2019,"Break and Enter",139,"West Humber-Clairville",33300,41.7417417417417,31.0331575818545,0.247540110636243
"001",2019,"Robbery",72,"West Humber-Clairville",33300,21.6216216216216,12.642311995235,0.321812830422066
"001",2019,"Theft Over",65,"West Humber-Clairville",33300,19.5195195195195,4.91033294764247,0.374999653641749
"001",2020,"Assault",246,"West Humber-Clairville",33300,73.8738738738739,64.6066532437307,0.182544428189919
"001",2020,"Auto Theft",397,"West Humber-Clairville",33300,119.219219219219,20.3235219509665,1
"001",2020,"Break and Enter",107,"West Humber-Clairville",33300,32.1321321321321,25.6028576114286,0.258388887780786
"001",2020,"Robbery",76,"West Humber-Clairville",33300,22.8228228228228,9.79054142585102,0.361243096461434
"001",2020,"Theft Over",53,"West Humber-Clairville",33300,15.9159159159159,4.32598074185994,0.622372483542655
"001",2021,"Assault",247,"West Humber-Clairville",33300,74.1741741741742,67.000711128936,0.190599055590185
"001",2021,"Auto Theft",503,"West Humber-Clairville",33300,151.051051051051,23.3490047634096,1
