"HOOD_158","year","month","CSI_CATEGORY","crime_count","neighbourhood_name"
"001",2020,"January","Assault",26,"West Humber-Clairville"
"001",2020,"January","Auto Theft",32,"West Humber-Clairville"
"001",2020,"January","Break and Enter",19,"West Humber-Clairville"
"001",2020,"January","Robbery",9,"West Humber-Clairville"
"001",2020,"January","Theft Over",2,"West Humber-Clairville"
"001",2020,"February","Assault",9,"West Humber-Clairville"
"001",2020,"February","Auto Theft",44,"West Humber-Clairville"
"001",2020,"February","Break and Enter",8,"West Humber-Clairville"
"001",2020,"February","Robbery",15,"West Humber-Clairville"
"001",2020,"February","Theft Over",5,"West Humber-Clairville"
"001",2020,"March","Assault",16,"West Humber-Clairville"
"001",2020,"March","Auto Theft",40,"West Humber-Clairville"
"001",2020,"March","Break and Enter",11,"West Humber-Clairville"
"001",2020,"March","Robbery",13,"West Humber-Clairville"
"001",2020,"March","Theft Over",3,"West Humber-Clairville"
"001",2020,"April","Assault",15,"West Humber-Clairville"
"001",2020,"April","Auto Theft",30,"West Humber-Clairville"
"001",2020,"April","Break and Enter",9,"West Humber-Clairville"
"001",2020,"April","Robbery",2,"West Humber-Clairville"
"001",2020,"April","Theft Over",9,"West Humber-Clairville"
"001",2020,"May","Assault",26,"West Humber-Clairville"
"001",2020,"May","Auto Theft",34,"West Humber-Clairville"
"001",2020,"May","Break and Enter",7,"West Humber-Clairville"
"001",2020,"May","Robbery",11,"West Humber-Clairville"
"001",2020,"May","Theft Over",7,"West Humber-Clairville"
"001",2020,"June","Assault",21,"West Humber-Clairville"
"001",2020,"June","Auto Theft",36,"West Humber-Clairville"
"001",2020,"June","Break and Enter",8,"West Humber-Clairville"
"001",2020,"June","Robbery",4,"West Humber-Clairville"
"001",2020,"June","Theft Over",1,"West Humber-Clairville"
"001",2020,"July","Assault",19,"West Humber-Clairville"
"001",2020,"July","Auto Theft",31,"West Humber-Clairville"
"001",2020,"July","Break and Enter",3,"West Humber-Clairville"
"001",2020,"July","Robbery",2,"West Humber-Clairville"
"001",2020,"July","Theft Over",4,"West Humber-Clairville"
"001",2020,"August","Assault",31,"West Humber-Clairville"
"001",2020,"August","Auto Theft",26,"West Humber-Clairville"
"001",2020,"August","Break and Enter",10,"West Humber-Clairville"
"001",2020,"August","Robbery",6,"West Humber-Clairville"
"001",2020,"August","Theft Over",5,"West Humber-Clairville"
"001",2020,"September","Assault",23,"West Humber-Clairville"
"001",2020,"September","Auto Theft",41,"West Humber-Clairville"
"001",2020,"September","Break and Enter",8,"West Humber-Clairville"
"001",2020,"September","Robbery",7,"West Humber-Clairville"
"001",2020,"September","Theft Over",4,"West Humber-Clairville"
"001",2020,"October","Assault",28,"West Humber-Clairville"
"001",2020,"October","Auto Theft",29,"West Humber-Clairville"
"001",2020,"October","Break and Enter",11,"West Humber-Clairville"
"001",2020,"October","Robbery",1,"West Humber-Clairville"
"001",2020,"October","Theft Over",2,"West Humber-Clairville"
"001",2020,"November","Assault",21,"West Humber-Clairville"
"001",2020,"November","Auto Theft",30,"West Humber-Clairville"
"001",2020,"November","Break and Enter",6,"West Humber-Clairville"
"001",2020,"November","Robbery",4,"West Humber-Clairville"
"001",2020,"November","Theft Over",6,"West Humber-Clairville"
"001",2020,"December","Assault",11,"West Humber-Clairville"
"001",2020,"December","Auto Theft",24,"West Humber-Clairville"
"001",2020,"December","Break and Enter",7,"West Humber-Clairville"
"001",2020,"December","Robbery",2,"West Humber-Clairville"
"001",2020,"December","Theft Over",5,"West Humber-Clairville"
"001",2021,"January","Assault",19,"West Humber-Clairville"
"001",2021,"January","Auto Theft",43,"West Humber-Clairville"
"001",2021,"January","Break and Enter",7,"West Humber-Clairville"
"001",2021,"January","Robbery",1,"West Humber-Clairville"
"001",2021,"January","Theft Over",3,"West Humber-Clairville"
