"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name","TSNS.DESIGNATION","population","crime_rate"
"001",2014,"Assault",299,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,89.7897897897898
"001",2014,"Auto Theft",315,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,94.5945945945946
"001",2014,"Break and Enter",151,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,45.3453453453453
"001",2014,"Robbery",81,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,24.3243243243243
"001",2014,"Theft Over",41,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,12.3123123123123
"001",2015,"Assault",300,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,90.0900900900901
"001",2015,"Auto Theft",271,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,81.3813813813814
"001",2015,"Break and Enter",118,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,35.4354354354354
"001",2015,"Robbery",74,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,22.2222222222222
"001",2015,"Theft Over",58,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,17.4174174174174
"001",2016,"Assault",293,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,87.987987987988
"001",2016,"Auto Theft",318,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,95.4954954954955
"001",2016,"Break and Enter",130,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,39.039039039039
"001",2016,"Robbery",90,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,27.027027027027
"001",2016,"Theft Over",40,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,12.012012012012
"001",2017,"Assault",308,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,92.4924924924925
"001",2017,"Auto Theft",321,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,96.3963963963964
"001",2017,"Break and Enter",124,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,37.2372372372372
"001",2017,"Robbery",123,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,36.9369369369369
"001",2017,"Theft Over",58,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,17.4174174174174
"001",2018,"Assault",322,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,96.6966966966967
"001",2018,"Auto Theft",497,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,149.249249249249
"001",2018,"Break and Enter",170,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,51.051051051051
"001",2018,"Robbery",91,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,27.3273273273273
"001",2018,"Theft Over",54,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,16.2162162162162
"001",2019,"Assault",247,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,74.1741741741742
"001",2019,"Auto Theft",489,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,146.846846846847
"001",2019,"Break and Enter",139,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,41.7417417417417
"001",2019,"Robbery",72,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,21.6216216216216
"001",2019,"Theft Over",65,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,19.5195195195195
"001",2020,"Assault",246,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,73.8738738738739
"001",2020,"Auto Theft",397,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,119.219219219219
"001",2020,"Break and Enter",107,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,32.1321321321321
"001",2020,"Robbery",76,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,22.8228228228228
"001",2020,"Theft Over",53,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,15.9159159159159
"001",2021,"Assault",247,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,74.1741741741742
"001",2021,"Auto Theft",503,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,151.051051051051
"001",2021,"Break and Enter",100,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,30.03003003003
"001",2021,"Robbery",53,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,15.9159159159159
"001",2021,"Theft Over",57,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,17.1171171171171
"001",2022,"Assault",265,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,79.5795795795796
"001",2022,"Auto Theft",782,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,234.834834834835
"001",2022,"Break and Enter",134,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,40.2402402402402
"001",2022,"Robbery",71,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,21.3213213213213
"001",2022,"Theft Over",59,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,17.7177177177177
"001",2023,"Assault",327,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,98.1981981981982
"001",2023,"Auto Theft",831,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,249.54954954955
"001",2023,"Break and Enter",214,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,64.2642642642643
"001",2023,"Robbery",77,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,23.1231231231231
"001",2023,"Theft Over",77,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,23.1231231231231
"001",2024,"Assault",337,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,101.201201201201
"001",2024,"Auto Theft",665,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,199.6996996997
"001",2024,"Break and Enter",155,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,46.5465465465465
"001",2024,"Robbery",63,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,18.9189189189189
"001",2024,"Theft Over",73,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,21.9219219219219
"001",2025,"Assault",320,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,96.0960960960961
"001",2025,"Auto Theft",485,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,145.645645645646
"001",2025,"Break and Enter",127,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,38.1381381381381
"001",2025,"Robbery",57,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,17.1171171171171
"001",2025,"Theft Over",88,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,26.4264264264264
"002",2014,"Assault",239,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,76.2482054554155
"002",2014,"Auto Theft",61,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,19.4608390492902
"002",2014,"Break and Enter",25,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,7.97575370872547
"002",2014,"Robbery",76,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,24.2462912745254
