"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name","TSNS.DESIGNATION"
"001",2014,"Assault",299,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2014,"Auto Theft",315,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2014,"Break and Enter",151,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2014,"Robbery",81,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2014,"Theft Over",41,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2015,"Assault",300,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2015,"Auto Theft",271,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2015,"Break and Enter",118,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2015,"Robbery",74,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2015,"Theft Over",58,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2016,"Assault",293,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2016,"Auto Theft",318,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2016,"Break and Enter",130,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2016,"Robbery",90,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2016,"Theft Over",40,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2017,"Assault",308,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2017,"Auto Theft",321,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2017,"Break and Enter",124,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2017,"Robbery",123,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2017,"Theft Over",58,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2018,"Assault",322,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2018,"Auto Theft",497,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2018,"Break and Enter",170,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2018,"Robbery",91,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2018,"Theft Over",54,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2019,"Assault",247,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2019,"Auto Theft",489,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2019,"Break and Enter",139,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2019,"Robbery",72,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2019,"Theft Over",65,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2020,"Assault",246,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2020,"Auto Theft",397,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2020,"Break and Enter",107,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2020,"Robbery",76,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2020,"Theft Over",53,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2021,"Assault",247,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2021,"Auto Theft",503,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2021,"Break and Enter",100,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2021,"Robbery",53,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2021,"Theft Over",57,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2022,"Assault",265,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2022,"Auto Theft",782,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2022,"Break and Enter",134,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2022,"Robbery",71,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2022,"Theft Over",59,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2023,"Assault",327,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2023,"Auto Theft",831,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2023,"Break and Enter",214,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2023,"Robbery",77,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2023,"Theft Over",77,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2024,"Assault",337,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2024,"Auto Theft",665,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"001",2024,"Break and Enter",155,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
