"HOOD_158","neighbourhood_name","TSNS.DESIGNATION","population","income","unemployment","low_income","housing_cost"
"001","West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,92000,14.3,8.7,2775
"002","Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,76500,17.7,15.6,3005
"003","Thistletown-Beaumond Heights","Neighbourhood Improvement Area",9850,86000,16.6,11.8,855
"004","Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,77000,13.9,13.5,1035
"005","Elms-Old Rexdale","Neighbourhood Improvement Area",9355,82000,18.5,12.4,835
"006","Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,79000,18.1,14.7,2300
"007","Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,92000,14.3,9.5,2360
"008","Humber Heights-Westmount","Emerging Neighbourhood",10005,85000,12.9,10.2,1130
"009","Edenbridge-Humber Valley","Not an NIA or Emerging Neighbourhood",15190,1e+05,12.1,8.2,1760
"010","Princess-Rosethorn","Not an NIA or Emerging Neighbourhood",11170,162000,11.4,5.6,630
"011","Eringate-Centennial-West Deane","Not an NIA or Emerging Neighbourhood",18450,108000,12.8,5.6,1485
"012","Markland Wood","Not an NIA or Emerging Neighbourhood",10365,105000,12.2,6,995
"013","Etobicoke West Mall","Not an NIA or Emerging Neighbourhood",11865,84000,14.2,11,1555
"015","Kingsway South","Not an NIA or Emerging Neighbourhood",8855,184000,8.3,4.3,765
"016","Stonegate-Queensway","Not an NIA or Emerging Neighbourhood",25650,104000,12,8.5,2680
"018","New Toronto","Not an NIA or Emerging Neighbourhood",11345,68500,13.2,15.8,1595
"019","Long Branch","Not an NIA or Emerging Neighbourhood",11360,83000,11.5,11.2,1655
"020","Alderwood","Not an NIA or Emerging Neighbourhood",12595,106000,11.9,6.2,1010
"021","Humber Summit","Neighbourhood Improvement Area",12185,80000,17.4,12.2,1060
"022","Humbermede","Neighbourhood Improvement Area",16955,77500,16.2,13.3,1605
"023","Pelmo Park-Humberlea","Not an NIA or Emerging Neighbourhood",11290,1e+05,13.8,7.7,995
"024","Black Creek","Neighbourhood Improvement Area",21145,65000,19.5,19.4,1995
"025","Glenfield-Jane Heights","Neighbourhood Improvement Area",30020,70500,19.1,14.9,2515
"027","York University Heights","Neighbourhood Improvement Area",28255,76000,16.4,13.8,3295
